topic,date,distribution
Tren Maya,2019-02-04,0.046819903
Salud y medicina,2019-02-04,0.04474771
Reformas políticas,2019-02-04,0.10503719
Fronteras e inmigración,2019-02-04,0.021121753
Energía y minería,2019-02-04,0.05170432
Vacunación,2019-02-04,0.085677326
Problemas sociales y justicia penal,2019-02-04,0.06372395
Deportes y turismo,2019-02-04,0.087099075
Relaciones políticas entre México y Perú,2019-02-04,0.021015313
Aeropuertos y vuelos,2019-02-11,0.022409817
Ley y crimen,2019-02-11,0.012296438
La pandemia del COVID-19 y su impacto,2019-02-11,0.044590913
La industria petrolera,2019-02-11,0.16618039
Economía,2019-02-11,0.07999003
Tren Maya,2019-02-11,0.051356353
Salud y medicina,2019-02-11,0.035752065
Reformas políticas,2019-02-11,0.07670998
Fronteras e inmigración,2019-02-11,0.021571934
Energía y minería,2019-02-11,0.27834317
Vacunación,2019-02-11,0.06682265
Problemas sociales y justicia penal,2019-02-11,0.06604183
Deportes y turismo,2019-02-11,0.05154963
Relaciones políticas entre México y Perú,2019-02-11,0.02638478
Aeropuertos y vuelos,2019-02-18,0.021492489
Ley y crimen,2019-02-18,0.029602906
La pandemia del COVID-19 y su impacto,2019-02-18,0.0463693
La industria petrolera,2019-02-18,0.15549625
Economía,2019-02-18,0.058022395
Tren Maya,2019-02-18,0.06599385
Salud y medicina,2019-02-18,0.03636141
Reformas políticas,2019-02-18,0.08547168
Fronteras e inmigración,2019-02-18,0.017918158
Energía y minería,2019-02-18,0.05202973
Vacunación,2019-02-18,0.07546887
Problemas sociales y justicia penal,2019-02-18,0.27031827
Deportes y turismo,2019-02-18,0.06914785
Relaciones políticas entre México y Perú,2019-02-18,0.016306872
Aeropuertos y vuelos,2019-02-25,0.037581243
Ley y crimen,2019-02-25,0.019133708
La pandemia del COVID-19 y su impacto,2019-02-25,0.06946042
La industria petrolera,2019-02-25,0.07619238
Economía,2019-02-25,0.31969488
Tren Maya,2019-02-25,0.03621148
Salud y medicina,2019-02-25,0.025585271
Reformas políticas,2019-02-25,0.11289715
Fronteras e inmigración,2019-02-25,0.038666967
Energía y minería,2019-02-25,0.029453063
Vacunación,2019-02-25,0.09579902
Problemas sociales y justicia penal,2019-02-25,0.05072202
Deportes y turismo,2019-02-25,0.048737448
Relaciones políticas entre México y Perú,2019-02-25,0.03986494
Aeropuertos y vuelos,2019-03-04,0.033115584
Ley y crimen,2019-03-04,0.025625141
La pandemia del COVID-19 y su impacto,2019-03-04,0.26840234
La industria petrolera,2019-03-04,0.10493325
Economía,2019-03-04,0.081835136
Tren Maya,2019-03-04,0.036252532
Salud y medicina,2019-03-04,0.015519215
Reformas políticas,2019-03-04,0.09407222
Fronteras e inmigración,2019-03-04,0.0162438
Energía y minería,2019-03-04,0.04788064
Vacunación,2019-03-04,0.17601983
Problemas sociales y justicia penal,2019-03-04,0.027486894
Deportes y turismo,2019-03-04,0.0552954
Relaciones políticas entre México y Perú,2019-03-04,0.017318057
Aeropuertos y vuelos,2019-03-11,0.043912284
Ley y crimen,2019-03-11,0.026353175
La pandemia del COVID-19 y su impacto,2019-03-11,0.028495874
La industria petrolera,2019-03-11,0.16061075
Economía,2019-03-11,0.066734456
Tren Maya,2019-03-11,0.054850504
Salud y medicina,2019-03-11,0.03589601
Reformas políticas,2019-03-11,0.29239637
Fronteras e inmigración,2019-03-11,0.021536456
Energía y minería,2019-03-11,0.012651866
Vacunación,2019-03-11,0.10282839
Problemas sociales y justicia penal,2019-03-11,0.05420537
Deportes y turismo,2019-03-11,0.068959355
Relaciones políticas entre México y Perú,2019-03-11,0.030569097
Aeropuertos y vuelos,2019-03-18,0.032046314
Ley y crimen,2019-03-18,0.016425436
La pandemia del COVID-19 y su impacto,2019-03-18,0.060049094
La industria petrolera,2019-03-18,0.29298556
Economía,2019-03-18,0.08298272
Tren Maya,2019-03-18,0.02754993
Salud y medicina,2019-03-18,0.02527791
Reformas políticas,2019-03-18,0.13726832
Fronteras e inmigración,2019-03-18,0.021546936
Energía y minería,2019-03-18,0.041060455
Vacunación,2019-03-18,0.12779386
Problemas sociales y justicia penal,2019-03-18,0.04620628
Deportes y turismo,2019-03-18,0.050211802
Relaciones políticas entre México y Perú,2019-03-18,0.03859542
Aeropuertos y vuelos,2019-03-25,0.022132484
Ley y crimen,2019-03-25,0.02331923
La pandemia del COVID-19 y su impacto,2019-03-25,0.04382092
La industria petrolera,2019-03-25,0.14564231
Economía,2019-03-25,0.079839796
Tren Maya,2019-03-25,0.050507456
Salud y medicina,2019-03-25,0.023711786
Reformas políticas,2019-03-25,0.103978336
Fronteras e inmigración,2019-03-25,0.049418323
Energía y minería,2019-03-25,0.032253586
Vacunación,2019-03-25,0.1064171
Problemas sociales y justicia penal,2019-03-25,0.07240989
Deportes y turismo,2019-03-25,0.03883127
Relaciones políticas entre México y Perú,2019-03-25,0.20771755
Aeropuertos y vuelos,2019-04-01,0.031120148
Ley y crimen,2019-04-01,0.02078005
La pandemia del COVID-19 y su impacto,2019-04-01,0.06010314
La industria petrolera,2019-04-01,0.10701268
Economía,2019-04-01,0.085050106
Tren Maya,2019-04-01,0.043340154
Salud y medicina,2019-04-01,0.034221277
Reformas políticas,2019-04-01,0.09740828
Fronteras e inmigración,2019-04-01,0.030184058
Energía y minería,2019-04-01,0.039686803
Vacunación,2019-04-01,0.12783201
Problemas sociales y justicia penal,2019-04-01,0.025896493
Deportes y turismo,2019-04-01,0.283376
Relaciones políticas entre México y Perú,2019-04-01,0.0139887715
Aeropuertos y vuelos,2019-04-08,0.03015415
Ley y crimen,2019-04-08,0.019900111
La pandemia del COVID-19 y su impacto,2019-04-08,0.05810895
La industria petrolera,2019-04-08,0.16296224
Economía,2019-04-08,0.09940172
Tren Maya,2019-04-08,0.028962528
Salud y medicina,2019-04-08,0.036309708
Reformas políticas,2019-04-08,0.09267324
Fronteras e inmigración,2019-04-08,0.019996956
Energía y minería,2019-04-08,0.046217356
Vacunación,2019-04-08,0.10357296
Problemas sociales y justicia penal,2019-04-08,0.06435323
Deportes y turismo,2019-04-08,0.04383586
Relaciones políticas entre México y Perú,2019-04-08,0.19355097
Aeropuertos y vuelos,2019-04-15,0.037253607
Ley y crimen,2019-04-15,0.021174755
La pandemia del COVID-19 y su impacto,2019-04-15,0.040214315
La industria petrolera,2019-04-15,0.15393578
Economía,2019-04-15,0.050155006
Tren Maya,2019-04-15,0.023920504
Salud y medicina,2019-04-15,0.033322025
Reformas políticas,2019-04-15,0.081851326
Fronteras e inmigración,2019-04-15,0.02398311
Energía y minería,2019-04-15,0.03931222
Vacunación,2019-04-15,0.073907845
Problemas sociales y justicia penal,2019-04-15,0.37262523
Deportes y turismo,2019-04-15,0.036198266
Relaciones políticas entre México y Perú,2019-04-15,0.01214601
Aeropuertos y vuelos,2019-04-22,0.050649744
Ley y crimen,2019-04-22,0.02090412
La pandemia del COVID-19 y su impacto,2019-04-22,0.0600304
La industria petrolera,2019-04-22,0.19020152
Economía,2019-04-22,0.07813517
Tren Maya,2019-04-22,0.03219932
Salud y medicina,2019-04-22,0.027680086
Reformas políticas,2019-04-22,0.0914832
Fronteras e inmigración,2019-04-22,0.062055197
Energía y minería,2019-04-22,0.023090005
Vacunación,2019-04-22,0.088881046
Problemas sociales y justicia penal,2019-04-22,0.057760805
Deportes y turismo,2019-04-22,0.20125704
Relaciones políticas entre México y Perú,2019-04-22,0.015672313
Aeropuertos y vuelos,2019-04-29,0.033537712
Ley y crimen,2019-04-29,0.023714375
La pandemia del COVID-19 y su impacto,2019-04-29,0.05495251
La industria petrolera,2019-04-29,0.12167973
Economía,2019-04-29,0.08990556
Tren Maya,2019-04-29,0.044683356
Salud y medicina,2019-04-29,0.02282694
Reformas políticas,2019-04-29,0.2956107
Fronteras e inmigración,2019-04-29,0.01954647
Energía y minería,2019-04-29,0.030412197
Vacunación,2019-04-29,0.1302381
Problemas sociales y justicia penal,2019-04-29,0.04196862
Deportes y turismo,2019-04-29,0.0708464
Relaciones políticas entre México y Perú,2019-04-29,0.020077365
Aeropuertos y vuelos,2019-05-06,0.026769672
Ley y crimen,2019-05-06,0.025964204
La pandemia del COVID-19 y su impacto,2019-05-06,0.051706854
La industria petrolera,2019-05-06,0.38586947
Economía,2019-05-06,0.06760837
Tren Maya,2019-05-06,0.036450148
Salud y medicina,2019-05-06,0.020508576
Reformas políticas,2019-05-06,0.13569619
Fronteras e inmigración,2019-05-06,0.03085723
Energía y minería,2019-05-06,0.02486398
Vacunación,2019-05-06,0.087183185
Problemas sociales y justicia penal,2019-05-06,0.041824833
Deportes y turismo,2019-05-06,0.03987141
Relaciones políticas entre México y Perú,2019-05-06,0.024825864
Aeropuertos y vuelos,2019-05-13,0.033319395
Ley y crimen,2019-05-13,0.030102666
La pandemia del COVID-19 y su impacto,2019-05-13,0.07052225
La industria petrolera,2019-05-13,0.1480881
Economía,2019-05-13,0.06736887
Tren Maya,2019-05-13,0.046739172
Salud y medicina,2019-05-13,0.04099242
Reformas políticas,2019-05-13,0.106876664
Fronteras e inmigración,2019-05-13,0.017405177
Energía y minería,2019-05-13,0.024510697
Vacunación,2019-05-13,0.110618845
Problemas sociales y justicia penal,2019-05-13,0.22557671
Deportes y turismo,2019-05-13,0.06448428
Relaciones políticas entre México y Perú,2019-05-13,0.013394735
Aeropuertos y vuelos,2019-05-20,0.02518291
Ley y crimen,2019-05-20,0.020835755
La pandemia del COVID-19 y su impacto,2019-05-20,0.07081884
La industria petrolera,2019-05-20,0.117110476
Economía,2019-05-20,0.07977224
Tren Maya,2019-05-20,0.041800816
Salud y medicina,2019-05-20,0.054415464
Reformas políticas,2019-05-20,0.09166067
Fronteras e inmigración,2019-05-20,0.039576404
Energía y minería,2019-05-20,0.036127493
Vacunación,2019-05-20,0.2949708
Problemas sociales y justicia penal,2019-05-20,0.04404432
Deportes y turismo,2019-05-20,0.057134625
Relaciones políticas entre México y Perú,2019-05-20,0.026549196
Aeropuertos y vuelos,2019-05-27,0.041557238
Ley y crimen,2019-05-27,0.033874497
La pandemia del COVID-19 y su impacto,2019-05-27,0.069155365
La industria petrolera,2019-05-27,0.11987941
Economía,2019-05-27,0.09253669
Tren Maya,2019-05-27,0.040659484
Salud y medicina,2019-05-27,0.06662218
Reformas políticas,2019-05-27,0.121503994
Fronteras e inmigración,2019-05-27,0.05599064
Energía y minería,2019-05-27,0.02930477
Vacunación,2019-05-27,0.24302241
Problemas sociales y justicia penal,2019-05-27,0.026451472
Deportes y turismo,2019-05-27,0.04204516
Relaciones políticas entre México y Perú,2019-05-27,0.017396713
Aeropuertos y vuelos,2019-06-03,0.022913076
Ley y crimen,2019-06-03,0.037733655
La pandemia del COVID-19 y su impacto,2019-06-03,0.26167032
La industria petrolera,2019-06-03,0.092157654
Economía,2019-06-03,0.06724989
Tren Maya,2019-06-03,0.031483885
Salud y medicina,2019-06-03,0.03225857
Reformas políticas,2019-06-03,0.08829256
Fronteras e inmigración,2019-06-03,0.10542586
Energía y minería,2019-06-03,0.04232857
Vacunación,2019-06-03,0.12636738
Problemas sociales y justicia penal,2019-06-03,0.04636124
Deportes y turismo,2019-06-03,0.031888906
Relaciones políticas entre México y Perú,2019-06-03,0.013868465
Aeropuertos y vuelos,2019-06-10,0.02603973
Ley y crimen,2019-06-10,0.022566775
La pandemia del COVID-19 y su impacto,2019-06-10,0.04675977
La industria petrolera,2019-06-10,0.047540776
Economía,2019-06-10,0.08263163
Tren Maya,2019-06-10,0.023655007
Salud y medicina,2019-06-10,0.011253685
Reformas políticas,2019-06-10,0.07358154
Fronteras e inmigración,2019-06-10,0.46464533
Energía y minería,2019-06-10,0.0103654945
Vacunación,2019-06-10,0.08191677
Problemas sociales y justicia penal,2019-06-10,0.03524401
Deportes y turismo,2019-06-10,0.04284797
Relaciones políticas entre México y Perú,2019-06-10,0.030951556
Aeropuertos y vuelos,2019-06-17,0.026638439
Ley y crimen,2019-06-17,0.031181492
La pandemia del COVID-19 y su impacto,2019-06-17,0.07750927
La industria petrolera,2019-06-17,0.067511566
Economía,2019-06-17,0.06586528
Tren Maya,2019-06-17,0.03821996
Salud y medicina,2019-06-17,0.034710195
Reformas políticas,2019-06-17,0.11805797
Fronteras e inmigración,2019-06-17,0.21710818
Energía y minería,2019-06-17,0.030153919
Vacunación,2019-06-17,0.13371754
Problemas sociales y justicia penal,2019-06-17,0.037673578
Deportes y turismo,2019-06-17,0.08289547
Relaciones políticas entre México y Perú,2019-06-17,0.038757134
Aeropuertos y vuelos,2019-06-24,0.032484215
Ley y crimen,2019-06-24,0.03343915
La pandemia del COVID-19 y su impacto,2019-06-24,0.04486205
La industria petrolera,2019-06-24,0.12838976
Economía,2019-06-24,0.06596055
Tren Maya,2019-06-24,0.06673819
Salud y medicina,2019-06-24,0.031190623
Reformas políticas,2019-06-24,0.10897933
Fronteras e inmigración,2019-06-24,0.06624219
Energía y minería,2019-06-24,0.029032608
Vacunación,2019-06-24,0.118566975
Problemas sociales y justicia penal,2019-06-24,0.052687358
Deportes y turismo,2019-06-24,0.19914106
Relaciones políticas entre México y Perú,2019-06-24,0.022285938
Aeropuertos y vuelos,2019-07-01,0.026882757
Ley y crimen,2019-07-01,0.33319438
La pandemia del COVID-19 y su impacto,2019-07-01,0.03895197
La industria petrolera,2019-07-01,0.10886912
Economía,2019-07-01,0.037220772
Tren Maya,2019-07-01,0.026098128
Salud y medicina,2019-07-01,0.021020582
Reformas políticas,2019-07-01,0.081531465
Fronteras e inmigración,2019-07-01,0.058447175
Energía y minería,2019-07-01,0.033899795
Vacunación,2019-07-01,0.12524614
Problemas sociales y justicia penal,2019-07-01,0.03938272
Deportes y turismo,2019-07-01,0.033697575
Relaciones políticas entre México y Perú,2019-07-01,0.035557453
Aeropuertos y vuelos,2019-07-08,0.024940975
Ley y crimen,2019-07-08,0.029399965
La pandemia del COVID-19 y su impacto,2019-07-08,0.3726608
La industria petrolera,2019-07-08,0.04134416
Economía,2019-07-08,0.07554135
Tren Maya,2019-07-08,0.038847808
Salud y medicina,2019-07-08,0.021251844
Reformas políticas,2019-07-08,0.18473911
Fronteras e inmigración,2019-07-08,0.024297712
Energía y minería,2019-07-08,0.019805826
Vacunación,2019-07-08,0.08030245
Problemas sociales y justicia penal,2019-07-08,0.031166174
Deportes y turismo,2019-07-08,0.03466503
Relaciones políticas entre México y Perú,2019-07-08,0.021036822
Aeropuertos y vuelos,2019-07-15,0.01774264
Ley y crimen,2019-07-15,0.027253382
La pandemia del COVID-19 y su impacto,2019-07-15,0.27191722
La industria petrolera,2019-07-15,0.101405144
Economía,2019-07-15,0.09547403
Tren Maya,2019-07-15,0.04421944
Salud y medicina,2019-07-15,0.030926041
Reformas políticas,2019-07-15,0.09909161
Fronteras e inmigración,2019-07-15,0.037677374
Energía y minería,2019-07-15,0.02695561
Vacunación,2019-07-15,0.115293
Problemas sociales y justicia penal,2019-07-15,0.038802624
Deportes y turismo,2019-07-15,0.06821349
Relaciones políticas entre México y Perú,2019-07-15,0.025028381
Aeropuertos y vuelos,2019-07-22,0.03474194
Ley y crimen,2019-07-22,0.025337067
La pandemia del COVID-19 y su impacto,2019-07-22,0.06858211
La industria petrolera,2019-07-22,0.14182146
Economía,2019-07-22,0.06453824
Tren Maya,2019-07-22,0.028046025
Salud y medicina,2019-07-22,0.029162502
Reformas políticas,2019-07-22,0.10213354
Fronteras e inmigración,2019-07-22,0.0757191
Energía y minería,2019-07-22,0.060493406
Vacunación,2019-07-22,0.1196515
Problemas sociales y justicia penal,2019-07-22,0.04017634
Deportes y turismo,2019-07-22,0.06944872
Relaciones políticas entre México y Perú,2019-07-22,0.14014809
Aeropuertos y vuelos,2019-07-29,0.027214758
Ley y crimen,2019-07-29,0.029359302
La pandemia del COVID-19 y su impacto,2019-07-29,0.070459746
La industria petrolera,2019-07-29,0.11727624
Economía,2019-07-29,0.055967655
Tren Maya,2019-07-29,0.054803997
Salud y medicina,2019-07-29,0.01965221
Reformas políticas,2019-07-29,0.14586562
Fronteras e inmigración,2019-07-29,0.05175957
Energía y minería,2019-07-29,0.03221235
Vacunación,2019-07-29,0.08589345
Problemas sociales y justicia penal,2019-07-29,0.04774024
Deportes y turismo,2019-07-29,0.22927889
Relaciones políticas entre México y Perú,2019-07-29,0.032515984
Aeropuertos y vuelos,2019-08-05,0.02338523
Ley y crimen,2019-08-05,0.028856635
La pandemia del COVID-19 y su impacto,2019-08-05,0.07360145
La industria petrolera,2019-08-05,0.0947613
Economía,2019-08-05,0.043648124
Tren Maya,2019-08-05,0.0297067
Salud y medicina,2019-08-05,0.026783785
Reformas políticas,2019-08-05,0.06586604
Fronteras e inmigración,2019-08-05,0.04081385
Energía y minería,2019-08-05,0.026164016
Vacunación,2019-08-05,0.06252462
Problemas sociales y justicia penal,2019-08-05,0.41775292
Deportes y turismo,2019-08-05,0.057676043
Relaciones políticas entre México y Perú,2019-08-05,0.008459314
Aeropuertos y vuelos,2019-08-12,0.0313098
Ley y crimen,2019-08-12,0.0332014
La pandemia del COVID-19 y su impacto,2019-08-12,0.06180123
La industria petrolera,2019-08-12,0.104886666
Economía,2019-08-12,0.0676372
Tren Maya,2019-08-12,0.060867805
Salud y medicina,2019-08-12,0.023546098
Reformas políticas,2019-08-12,0.099494055
Fronteras e inmigración,2019-08-12,0.049826037
Energía y minería,2019-08-12,0.037069574
Vacunación,2019-08-12,0.08961528
Problemas sociales y justicia penal,2019-08-12,0.059458297
Deportes y turismo,2019-08-12,0.25625515
Relaciones políticas entre México y Perú,2019-08-12,0.025031442
Aeropuertos y vuelos,2019-08-19,0.02752924
Ley y crimen,2019-08-19,0.021914903
La pandemia del COVID-19 y su impacto,2019-08-19,0.038292546
La industria petrolera,2019-08-19,0.32098413
Economía,2019-08-19,0.06913864
Tren Maya,2019-08-19,0.03189835
Salud y medicina,2019-08-19,0.031172007
Reformas políticas,2019-08-19,0.11836869
Fronteras e inmigración,2019-08-19,0.03173582
Energía y minería,2019-08-19,0.045157947
Vacunación,2019-08-19,0.09765314
Problemas sociales y justicia penal,2019-08-19,0.06292229
Deportes y turismo,2019-08-19,0.077704646
Relaciones políticas entre México y Perú,2019-08-19,0.025527671
Aeropuertos y vuelos,2019-08-26,0.031421777
Ley y crimen,2019-08-26,0.024786294
La pandemia del COVID-19 y su impacto,2019-08-26,0.06609929
La industria petrolera,2019-08-26,0.10145616
Economía,2019-08-26,0.091498815
Tren Maya,2019-08-26,0.047254514
Salud y medicina,2019-08-26,0.025445288
Reformas políticas,2019-08-26,0.098040454
Fronteras e inmigración,2019-08-26,0.03574589
Energía y minería,2019-08-26,0.040224396
Vacunación,2019-08-26,0.083856486
Problemas sociales y justicia penal,2019-08-26,0.2626637
Deportes y turismo,2019-08-26,0.06857113
Relaciones políticas entre México y Perú,2019-08-26,0.022935808
Aeropuertos y vuelos,2019-09-02,0.026277907
Ley y crimen,2019-09-02,0.02153233
La pandemia del COVID-19 y su impacto,2019-09-02,0.06177931
La industria petrolera,2019-09-02,0.08848035
Economía,2019-09-02,0.070253894
Tren Maya,2019-09-02,0.043568775
Salud y medicina,2019-09-02,0.030489411
Reformas políticas,2019-09-02,0.1261719
Fronteras e inmigración,2019-09-02,0.09653063
Energía y minería,2019-09-02,0.03670258
Vacunación,2019-09-02,0.13956697
Problemas sociales y justicia penal,2019-09-02,0.16030319
Deportes y turismo,2019-09-02,0.06120308
Relaciones políticas entre México y Perú,2019-09-02,0.03713967
Aeropuertos y vuelos,2019-09-09,0.031707942
Ley y crimen,2019-09-09,0.029971574
La pandemia del COVID-19 y su impacto,2019-09-09,0.24739034
La industria petrolera,2019-09-09,0.08213282
Economía,2019-09-09,0.09419736
Tren Maya,2019-09-09,0.046478335
Salud y medicina,2019-09-09,0.026279876
Reformas políticas,2019-09-09,0.10895914
Fronteras e inmigración,2019-09-09,0.054215327
Energía y minería,2019-09-09,0.030469533
Vacunación,2019-09-09,0.09940368
Problemas sociales y justicia penal,2019-09-09,0.06660709
Deportes y turismo,2019-09-09,0.053496245
Relaciones políticas entre México y Perú,2019-09-09,0.028690703
Aeropuertos y vuelos,2019-09-16,0.037515804
Ley y crimen,2019-09-16,0.019760896
La pandemia del COVID-19 y su impacto,2019-09-16,0.071849175
La industria petrolera,2019-09-16,0.112502694
Economía,2019-09-16,0.061008114
Tren Maya,2019-09-16,0.07555483
Salud y medicina,2019-09-16,0.0411488
Reformas políticas,2019-09-16,0.122159526
Fronteras e inmigración,2019-09-16,0.014340037
Energía y minería,2019-09-16,0.019708695
Vacunación,2019-09-16,0.32906005
Problemas sociales y justicia penal,2019-09-16,0.030891908
Deportes y turismo,2019-09-16,0.043091364
Relaciones políticas entre México y Perú,2019-09-16,0.021408083
Aeropuertos y vuelos,2019-09-23,0.032800168
Ley y crimen,2019-09-23,0.026465664
La pandemia del COVID-19 y su impacto,2019-09-23,0.07951066
La industria petrolera,2019-09-23,0.11256378
Economía,2019-09-23,0.05905499
Tren Maya,2019-09-23,0.042131018
Salud y medicina,2019-09-23,0.052702025
Reformas políticas,2019-09-23,0.3046299
Fronteras e inmigración,2019-09-23,0.020181578
Energía y minería,2019-09-23,0.044916123
Vacunación,2019-09-23,0.11519856
Problemas sociales y justicia penal,2019-09-23,0.036167577
Deportes y turismo,2019-09-23,0.05530789
Relaciones políticas entre México y Perú,2019-09-23,0.018370112
Aeropuertos y vuelos,2019-09-30,0.03195869
Ley y crimen,2019-09-30,0.045944225
La pandemia del COVID-19 y su impacto,2019-09-30,0.085457444
La industria petrolera,2019-09-30,0.10010954
Economía,2019-09-30,0.06551417
Tren Maya,2019-09-30,0.03713212
Salud y medicina,2019-09-30,0.037022285
Reformas políticas,2019-09-30,0.2921141
Fronteras e inmigración,2019-09-30,0.026794342
Energía y minería,2019-09-30,0.029876107
Vacunación,2019-09-30,0.1251524
Problemas sociales y justicia penal,2019-09-30,0.052535333
Deportes y turismo,2019-09-30,0.049640585
Relaciones políticas entre México y Perú,2019-09-30,0.020748679
Aeropuertos y vuelos,2019-10-07,0.04821675
Ley y crimen,2019-10-07,0.026499894
La pandemia del COVID-19 y su impacto,2019-10-07,0.07077581
La industria petrolera,2019-10-07,0.10451661
Economía,2019-10-07,0.09516871
Tren Maya,2019-10-07,0.033411246
Salud y medicina,2019-10-07,0.027888983
Reformas políticas,2019-10-07,0.122828655
Fronteras e inmigración,2019-10-07,0.03275916
Energía y minería,2019-10-07,0.011183716
Vacunación,2019-10-07,0.29268947
Problemas sociales y justicia penal,2019-10-07,0.02410222
